id,title,abstract,categories,authors,date,research_type,y_true
2503.12804,"A remark on isolated removable singularity of harmonic maps in dimension
  two","For a ball $B_R(0)\subset\mathbb{R}^2$, we provide sufficient conditions such
that a harmonic map $u\in C^\infty(B_R(0)\setminus\{0\}, N)$, with a
self-similar bound on its gradient, belongs to $C^\infty(B_R(0))$. Those
conditions also guarantee the triviality of such harmonic maps when $R=\infty$.",['math.AP'],['Wang Changyou'],2025-03-17,,False
2503.05643,On a classification problem for a quiver of type $\widetilde{A}_{3}$,"We present a new solution to the classification problem for the category of
representations of a quiver of type $\widetilde{A}_{3}$. Our approach uses
linear algebra techniques which lead us to a reduction that allows to use
induction. As an application, the solution to the classical Kronecker problem
and its contragredient version are obtained in an elementary way. We also
describe the endomorphism rings for the indecomposable representations and an
algorithm that shows how to reconstruct their matrix form from some graphic
invariants.",['math.RT'],"['Dorado Ivon', 'Medina Gonzalo']",2025-03-07,,False
2502.00134,The integer $\{2\}$-domination number of grids,"For positive integers $m$ and $n$, the grid graph $G_{m,n}$ is the Cartesian
product of the path graph $P_m$ on $m$ vertices and the path graph $P_n$ on $n$
vertices. An integer $\{2\}$-dominating function of a graph is a mapping from
the vertex set to $\{0,1,2\}$ such that the sum of the mapped values of each
vertex and its neighbors is at least $2$; the integer $\{2\}$-domination number
of a graph is defined to be the minimum sum of mapped values of all vertices
among all integer $\{2\}$-dominating functions. In this paper, we compute the
integer $\{2\}$-domination numbers of $G_{1,n}$ and $G_{2,n}$, attain an upper
bound to the integer $\{2\}$-domination numbers of $G_{3,n}$, and propose an
algorithm to count the integer $\{2\}$-domination numbers of $G_{m,n}$ for
arbitrary $m$ and $n$. As a future work, we list the integer $\{2\}$-domination
numbers of $G_{4,n}$ for small $n$, and conjecture on its formula.",['math.CO'],"['Lee Jia-Ying', 'Liu Chia-An']",2025-01-31,,False
2503.18634,Adaptive Machine Learning for Resource-Constrained Environments,"The Internet of Things is an example domain where data is perpetually
generated in ever-increasing quantities, reflecting the proliferation of
connected devices and the formation of continuous data streams over time.
Consequently, the demand for ad-hoc, cost-effective machine learning solutions
must adapt to this evolving data influx. This study tackles the task of
offloading in small gateways, exacerbated by their dynamic availability over
time. An approach leveraging CPU utilization metrics using online and continual
machine learning techniques is proposed to predict gateway availability. These
methods are compared to popular machine learning algorithms and a recent
time-series foundation model, Lag-Llama, for fine-tuned and zero-shot setups.
Their performance is benchmarked on a dataset of CPU utilization measurements
over time from an IoT gateway and focuses on model metrics such as prediction
errors, training and inference times, and memory consumption. Our primary
objective is to study new efficient ways to predict CPU performance in IoT
environments. Across various scenarios, our findings highlight that ensemble
and online methods offer promising results for this task in terms of accuracy
while maintaining a low resource footprint.",['cs.LG'],"['Ordóñez Sebastián A. Cajas', 'Samanta Jaydeep', 'Suárez-Cetrulo Andrés L.', 'Carbajo Ricardo Simón']",2025-03-24,,False
2502.18271,"Helical flows along coronal loops following the launch of a coronal mass
  ejection","Solar flares and coronal mass ejections (CMEs) are manifestations of energy
release in the solar atmosphere, which can be accompanied by dynamic mass
motions and waves in the surrounding atmosphere. Here, we present observations
of plasma moving in a helical trajectory along a set of coronal loops formed
following the eruption of a CME on 2024 May 14. This helical motion was
observed in extreme ultraviolet (EUV) images from the Solar Dynamic Observatory
(SDO), which provides new insights into plasma properties in a set of
post-eruption coronal loops. We utilize images from the SDO Atmospheric Imaging
Assembly (AIA) instrument to track the helical motion of plasma and to
characterize its speed, acceleration, and physical properties. Additionally, we
explore the evolution of the plasma density and temperature along the helical
structure using the differential emission measure technique. The helical
structure was visible in AIA for approximately 22 minutes, having a diameter of
22 Mm, and a total trajectory of nearly 184 Mm. Analysis of the AIA
observations reveals that the plasma flow along this helical coronal loop
exhibits speeds of 77-384 km s$^{-1}$ and temperatures ranging from 3.46 to
10.2 MK. Additionally, the densities were estimated to be between 4.3.106 and
1.55.107 cm-3, with an estimated magnetic field strength of 0.05-0.3 G.
Following the launch of a CME, we find clear evidence for impulsive heating and
expansion of plasma that travels a helical trajectory along a set of
post-eruption loops. These observations provide an insight into impulsive
plasma flows along coronal loops and indeed the topology of coronal loops.",['astro-ph.SR'],"['Nedal Mohamed', 'Long David M.', 'Cuddy Catherine', 'Van Driel-Gesztelyi Lidia', 'Gallagher Peter T.']",2025-02-25,,False
2501.10665,"An Unexplained Origin for the Unusual Globular Cluster System in the
  Ultra-diffuse Galaxy FCC 224","We study the quiescent ultra-diffuse galaxy FCC 224 in the Fornax cluster
using Hubble Space Telescope (HST) imaging, motivated by peculiar properties of
its globular cluster (GC) system revealed in shallower imaging. The surface
brightness fluctuation distance of FCC 224 measured from HST is $18.6 \pm 2.7$
Mpc, consistent with the Fornax Cluster distance. We use Prospector to infer
the stellar population from a combination of multi-wavelength photometry (HST,
ground-based, WISE) and Keck Cosmic Web Imager spectroscopy. The galaxy has a
mass-weighted age of $\sim$ 10 Gyr, metallicity [M/H] of $\sim -1.25$ dex, and
a very short formation $e$-folding time of $\tau \sim 0.3$ Gyr. Its 12
candidate GCs exhibit highly homogeneous $g_{\rm 475}-I_{\rm 814}$ colors,
merely 0.04 mag bluer than the diffuse starlight, which supports a single burst
formation scenario for this galaxy. We confirm a top-heavy GC luminosity
function, similar to the two dark matter deficient galaxies NGC 1052-DF2 and
DF4. However, FCC 224 differs from those galaxies with relatively small GC
sizes of $\sim$ 3 pc ($\sim 35\%$ smaller than typical for other dwarfs), and
with radial mass segregation in its GC system. We are not yet able to identify
a formation scenario to explain all of the GC properties in FCC 224. Follow-up
measurements of the dark matter content in FCC 224 will be crucial because of
the mix of similarities and differences among FCC 224, DF2, and DF4.",['astro-ph.GA'],"['Tang Yimeng', 'Romanowsky Aaron J.', 'Gannon Jonah S.', 'Janssens Steven R.', 'Brodie Jean P.', 'Bundy Kevin A.', 'Buzzo Maria Luisa', 'Cabrera Enrique A.', 'Danieli Shany', 'Ferré-Mateu Anna', 'Forbes Duncan A.', 'van Dokkum Pieter G.']",2025-01-18,,False
2501.11683,Optimizing for aggressive-style strategies in Flesh and Blood is NP-hard,"Flesh and Blood (FAB) is a trading card game that two players need to make a
strategy to reduce the life points of their opponent to zero. The mechanics of
the game present complex decision-making scenarios of resource management. Due
the similarity of other card games, the strategy of the game have scenarios
that can turn an NP-problem. This paper presents a model of an aggressive,
single-turn strategy as a combinatorial optimization problem, termed the FAB
problem. Using mathematical modeling, we demonstrate its equivalence to a 0-1
Knapsack problem, establishing the FAB problem as NP-hard. Additionally, an
Integer Linear Programming (ILP) formulation is proposed to tackle real-world
instances of the problem. By establishing the computational hardness of
optimizing even relatively simple strategies, our work highlights the
combinatorial complexity of the game.",['cs.CC'],"['Romão Leonardo Gasparini', 'de Paula Samuel Plaça', 'Ueda Eduardo Takeo']",2025-01-20,,False
2503.04306,"EP240801a/XRF 240801B: An X-ray Flash Detected by the Einstein Probe and
  Implications of its Multiband Afterglow","We present multiband observations and analysis of EP240801a, a low-energy,
extremely soft gamma-ray burst (GRB) discovered on August 1, 2024 by the
Einstein Probe (EP) satellite, with a weak contemporaneous signal also detected
by Fermi/GBM. Optical spectroscopy of the afterglow, obtained by GTC and Keck,
identified the redshift of $z = 1.6734$. EP240801a exhibits a burst duration of
148 s in X-rays and 22.3 s in gamma-rays, with X-rays leading by 80.61 s.
Spectral lag analysis indicates the gamma-ray signal arrived 8.3 s earlier than
the X-rays. Joint spectral fitting of EP/WXT and Fermi/GBM data yields an
isotropic energy $E_{\gamma,\rm{iso}} = (5.57^{+0.54}_{-0.50})\times
10^{51}\,\rm{erg}$, a peak energy $E_{\rm{peak}} =
14.90^{+7.08}_{-4.71}\,\rm{keV}$, a fluence ratio $\rm
S(25-50\,\rm{keV})/S(50-100\,\rm{keV}) = 1.67^{+0.74}_{-0.46}$, classifying
EP240801a as an X-ray flash (XRF). The host-galaxy continuum spectrum, inferred
using Prospector, was used to correct its contribution for the observed
outburst optical data. Unusual early $R$-band behavior and EP/FXT observations
suggest multiple components in the afterglow. Three models are considered:
two-component jet model, forward-reverse shock model and forward-shock model
with energy injection. Both three provide reasonable explanations. The
two-component jet model and the energy injection model imply a relatively small
initial energy and velocity of the jet in the line of sight, while the
forward-reverse shock model remains typical. Under the two-component jet model,
EP240801a may resemble GRB 221009A (BOAT) if the bright narrow beam is viewed
on-axis. Therefore, EP240801a can be interpreted as an off-beam (narrow) jet or
an intrinsically weak GRB jet. Our findings provide crucial clues for
uncovering the origin of XRFs.",['astro-ph.HE'],"['Jiang Shuai-Qing', 'Xu Dong', 'van Hoof Agnes P. C.', 'Lei Wei-Hua', 'Liu Yuan', 'Zhou Hao', 'Chen Yong', 'Fu Shao-Yu', 'Yang Jun', 'Liu Xing', 'Zhu Zi-Pei', 'Filippenko Alexei V.', 'Jonker Peter G.', 'Pozanenko A. S.', 'Gao He', 'Wu Xue-Feng', 'Zhang Bing', 'Lamb Gavin P', 'De Pasquale Massimiliano', 'Kobayashi Shiho', 'Bauer Franz Erik', 'Sun Hui', 'Pugliese Giovanna', 'An Jie', ""D'Elia Valerio"", 'Fynbo Johan P. U.', 'Zheng WeiKang', 'Tirado Alberto J. C.', 'Yin Yi-Han Iris', 'Zou Yuan-Chuan', 'Deller Adam T.', 'Pankov N. S.', 'Volnova A. A.', 'Moskvitin A. S.', 'Spiridonova O. I.', 'Oparin D. V.', 'Rumyantsev V.', 'Burkhonov O. A.', 'Egamberdiyev Sh. A.', 'Kim V.', 'Krugov M.', 'Tatarnikov A. M.', 'Inasaridze R.', 'Levan Andrew J.', 'Malesani Daniele Bjørn', 'Ravasio Maria E.', 'Quirola-Vásquez Jonathan', 'van Dalen Joyce N. D.', 'Sánchez-Sierras Javi', 'Sánchez Daniel Mata', 'Littlefair Stuart P.', 'Chacón Jennifer A.', 'Torres Manuel A. P.', 'Chrimes Ashley A.', 'Sarin Nikhil', 'Martin-Carrillo Antonio', 'Dhillon Vik', 'Yang Yi', 'Brink Thomas G.', 'Davies Rebecca L.', 'Yang Sheng', 'Aryan Amar', 'Chen Ting-Wan', 'Kong Albert K. H.', 'Li Wen-Xiong', 'Li Rui-Zhi', 'Mao Jirong', 'Pérez-García Ignacio', 'Fernández-García Emilio J.', 'Andrews Moira', 'Farah Joseph', 'Fan Zhou', 'Gonzalez Estefania Padilla', 'Howell D. Andrew', 'Hartmann Dieter', 'Hu Jing-Wei', 'Jakobsson Páll', 'Li Cheng-Kui', 'Ling Zhi-Xing', 'McCully Curtis', 'Newsome Megan', 'Schneider Benjamin', 'Tinyanont Kaew Samaporn', 'Sun Ning-Chen', 'Terreran Giacomo', 'Tang Qing-Wen', 'Wang Wen-Xin', 'Xu Jing-Jing', 'Yuan Wei-Min', 'Zhang Bin-Bin', 'Zhao Hai-Sheng', 'Zhang Juan']",2025-03-06,,False
2503.11588,"Generalization performance of neural mapping schemes for the space-time
  interpolation of satellite-derived ocean colour datasets","Neural mapping schemes have become appealing approaches to deliver gap-free
satellite-derived products for sea surface tracers. The generalization
performance of these learning-based approaches naturally arises as a key
challenge. This is particularly true for satellite-derived ocean colour
products given the variety of bio-optical variables of interest, as well as the
diversity of processes and scales involved. Considering region-specific and
parameter-specific neural mapping schemes will result in substantial training
costs. This study addresses generalization performance of neural mapping
schemes to deliver gap-free satellite-derived ocean colour products. We develop
a comprehensive experimental framework using real multi-sensor ocean colour
datasets for two regions (the Mediterranean Sea and the North Sea) and a
representative set of bio-optical parameters (Chlorophyll-a concentration,
suspended particulate matter concentration, particulate backscattering
coefficient). We consider several neural mapping schemes, and we report
excellent generalization performance across regions and bio-optical parameters
without any fine-tuning using appropriate dataset-specific normalization
procedures. We discuss further how these results provide new insights towards
the large-scale deployment of neural schemes for the processing of
satellite-derived ocean colour datasets beyond case-study-specific
demonstrations.",['eess.IV'],"['Nguyen Thi Thuy Nga', 'Dorffer Clément', 'Jourdin Frédéric', 'Fablet Ronan']",2025-03-14,,False
2503.09791,Minimal Time Series Transformer,"Transformer is the state-of-the-art model for many natural language
processing, computer vision, and audio analysis problems. Transformer
effectively combines information from the past input and output samples in
auto-regressive manner so that each sample becomes aware of all inputs and
outputs. In sequence-to-sequence (Seq2Seq) modeling, the transformer processed
samples become effective in predicting the next output. Time series forecasting
is a Seq2Seq problem. The original architecture is defined for discrete input
and output sequence tokens, but to adopt it for time series, the model must be
adapted for continuous data. This work introduces minimal adaptations to make
the original transformer architecture suitable for continuous value time series
data.",['cs.LG'],['Kämäräinen Joni-Kristian'],2025-03-12,,False
2503.0023,"Physics-Informed Implicit Neural Representations for Joint B0 Estimation
  and Echo Planar Imaging","Echo Planar Imaging (EPI) is widely used for its rapid acquisition but
suffers from severe geometric distortions due to B0 inhomogeneities,
particularly along the phase encoding direction. Existing methods follow a
two-step process: reconstructing blip-up/down EPI images, then estimating B0,
which can introduce error accumulation and reduce correction accuracy. This is
especially problematic in high B0 regions, where distortions align along the
same axis, making them harder to disentangle. In this work, we propose a novel
approach that integrates Implicit Neural Representations (INRs) with a
physics-informed correction model to jointly estimate B0 inhomogeneities and
reconstruct distortion-free images from rotated-view EPI acquisitions. INRs
offer a flexible, continuous representation that inherently captures complex
spatial variations without requiring predefined grid-based field maps. By
leveraging this property, our method dynamically adapts to subject-specific B0
variations and improves robustness across different imaging conditions.
Experimental results on 180 slices of brain images from three subjects
demonstrate that our approach outperforms traditional methods in terms of
reconstruction quality and field estimation accuracy.",['eess.IV'],"['Huang Wenqi', 'Wang Nan', 'Liao Congyu', 'Lin Yimeng', 'Gao Mengze', 'Rueckert Daniel', 'Setsompop Kawin']",2025-02-28,,False
2501.06461,"Assessing instructor-AI cooperation for grading essay-type questions in
  an introductory sociology course","This study explores the use of artificial intelligence (AI) as a
complementary tool for grading essay-type questions in higher education,
focusing on its consistency with human grading and potential to reduce biases.
Using 70 handwritten exams from an introductory sociology course, we evaluated
generative pre-trained transformers (GPT) models' performance in transcribing
and scoring students' responses. GPT models were tested under various settings
for both transcription and grading tasks. Results show high similarity between
human and GPT transcriptions, with GPT-4o-mini outperforming GPT-4o in
accuracy. For grading, GPT demonstrated strong correlations with the human
grader scores, especially when template answers were provided. However,
discrepancies remained, highlighting GPT's role as a ""second grader"" to flag
inconsistencies for assessment reviewing rather than fully replace human
evaluation. This study contributes to the growing literature on AI in
education, demonstrating its potential to enhance fairness and efficiency in
grading essay-type questions.",['cs.AI'],"['Olivos Francisco', 'Kamelski Tobias', 'Ascui-Gac Sebastián']",2025-01-11,,False
2503.09863,Acceleration without photon pair creation,"Whenever an experiment can be described classically, quantum physics must
predict the same outcome. Intuitively, there is nothing quantum about an
accelerating observer travelling through vacuum. It is, therefore, not
surprising that many people are puzzled by the Unruh effect, which predicts
that the observer encounters photons in a thermal state. This paper uses a
recently introduced local photon approach to show that the quantised
electromagnetic field in a non-inertial reference frame can be modelled without
violating the principles of general relativity while both observers share a
common vacuum. The only difference between a resting and an accelerating
observer is that they each experience different worldline densities which
implies different zero point energy densities in each reference frame.",['quant-ph'],"['Kanzi Sara', 'Hodgson Daniel', 'Beige Almut']",2025-03-12,,False
2501.18818,"On generalized (twisted) conjugacy separability of some extensions of
  groups","We introduce separability properties corresponding to generalized versions of
the conjugacy, twisted conjugacy, Brinkmann and Brinkmann's conjugacy problems
and how they relate when finite and cyclic extensions of groups are taken. In
particular, we prove that some (concrete) generalizations of twisted conjugacy
separability of a group $G$ with respect to virtually inner automorphisms are
equivalent to some (concrete) generalizations of the conjugacy problem in
finite extensions of $G$. Similarly, (generalized) conjugacy separability in
cyclic extensions of $G$ implies (generalized) twisted conjugacy and
Brinkmann's conjugacy separability in $G$. Applications include results in
free, virtually abelian, virtually polycyclic groups and a proof that virtually
free times free groups are conjugacy separable.",['math.GR'],['Carvalho André'],2025-01-30,,False
2502.09938,"Quantifying Phase Magnitudes of Open-Source Focused-Probe 4D-STEM
  Ptychography Reconstructions","Accurate computational ptychographic phase reconstructions are enabled by
fast direct-electron cameras with high dynamic ranges used for four-dimensional
scanning transmission electron microscopy (4D-STEM). The availability of open
software packages is making such analyses widely accessible, and especially
when implemented in Python, easy to compare in terms of computational
efficiency and reconstruction quality. In this contribution, I reconstruct
atomic phase shifts from convergent-beam electron diffraction maps of pristine
monolayer graphene, which is an ideal dose-robust uniform phase object,
acquired on a Dectris ARINA detector installed in a Nion UltraSTEM 100 operated
at 60 keV with a focused-probe convergence semi-angle of 34 mrad. For two
different recorded maximum scattering angle settings, I compare a range of
direct and iterative open-source phase reconstruction algorithms, evaluating
their computational efficiency and tolerance to reciprocal-space binning and
real-space thinning of the data. The quality of the phase images is assessed by
quantifying the variation of atomic phase shifts using a robust parameter-based
method revealing an overall agreement with some notable differences in the
absolute magnitudes and the variation of the phases. Although such variation is
not a major issue when analyzing data with many identical atoms, it does put
limits on what level of precision can be relied upon for unique sites such as
defects or dopants, which also tend to be more dose-sensitive. Overall, these
findings and the accompanying open data and code provide useful guidance for
the sampling required for desired levels of phase precision, and suggest
particular care is required when relying on electron ptychography for
quantitative analyses of atomic-scale electromagnetic properties.",['cond-mat.mtrl-sci'],['Susi Toma'],2025-02-14,,False
2502.20918,Dynamics of transport by helical edge states,"Topologically nontrivial band structure of a material may give rise to
special states that are confined to the material's boundary and protected
against disorder and scattering. Quantum spin Hall effect (QSHE) is a
paradigmatic example of phenomenon in which such states appear in the presence
of time-reversal symmetry in two dimensions. Whereas the spatial structure of
these helical edge states has been largely studied, their dynamic properties
are much less understood. We design a microwave experiment mimicking QSHE and
explore the spatiotemporal dynamics of unidirectional transport of optical
angular momentum (or pseudospin) by edge states. Pseudospin-polarized signal
propagation is shown to be immune to scattering by defects introduced along the
edge. Its velocity is two to three orders of magnitude slower than the speed of
light in the free space, which may have important consequences for practical
applications of topological edge states in modern optical and
quantum-information technologies.",['cond-mat.mes-hall'],"['López Luis Alberto Razo', 'Wulles Pierre', 'Aubry Geoffroy J.', 'Skipetrov Sergey E.', 'Mortessagne Fabrice']",2025-02-28,,False
